('English', 'LANGUAGE', 'Q1860', 'https://www.wikidata.org/wiki/Q1860', 0.514)
('English', 'LANGUAGE', 'Q1860', 'https://www.wikidata.org/wiki/Q1860', 0.514)
('AI', 'ORG', 'Q2494121', 'https://www.wikidata.org/wiki/Q2494121', 0.6338)
('NLP', 'ORG', 'Q30642', 'https://www.wikidata.org/wiki/Q30642', 0.5691)
('1971', 'DATE', 'Q220737', 'https://www.wikidata.org/wiki/Q220737', 0.3902)
('British', 'NORP', 'Q8680', 'https://www.wikidata.org/wiki/Q8680', 0.4715)
('AI', 'ORG', 'Q2494121', 'https://www.wikidata.org/wiki/Q2494121', 0.6338)
('AI', 'GPE', 'Q2494121', 'https://www.wikidata.org/wiki/Q2494121', 0.6338)
('Expert Systems', 'ORG', 'Q184609', 'https://www.wikidata.org/wiki/Q184609', 0.5645)
('rma', 'EVENT', 'Q3444486', 'https://www.wikidata.org/wiki/Q3444486', 0.5706)
('1972', 'DATE', 'Q8438', 'https://www.wikidata.org/wiki/Q8438', 0.3915)
('MYCIN', 'ORG', 'Q644624', 'https://www.wikidata.org/wiki/Q644624', 0.9129)
('Expert Systems', 'ORG', 'Q184609', 'https://www.wikidata.org/wiki/Q184609', 0.8456)
('T00', 'ORG', 'Q1208985', 'https://www.wikidata.org/wiki/Q1208985', 0.3167)
('NLP', 'ORG', 'Q30642', 'https://www.wikidata.org/wiki/Q30642', 0.6857)
('2011', 'DATE', 'Q1994', 'https://www.wikidata.org/wiki/Q1994', 0.3917)
('Watson', 'PERSON', 'Q12253', 'https://www.wikidata.org/wiki/Q12253', 0.5087)
('Deep Learning', 'WORK_OF_ART', 'Q197536', 'https://www.wikidata.org/wiki/Q197536', 0.7021)
('GPU', 'ORG', 'Q183484', 'https://www.wikidata.org/wiki/Q183484', 0.8425)
('jpg', 'PERSON', 'Q2195', 'https://www.wikidata.org/wiki/Q2195', 0.4484)
('Today', 'DATE', 'Q4353208', 'https://www.wikidata.org/wiki/Q4353208', 0.3851)
('AI', 'GPE', 'Q2494121', 'https://www.wikidata.org/wiki/Q2494121', 0.7798)
('AI', 'ORG', 'Q2494121', 'https://www.wikidata.org/wiki/Q2494121', 0.7798)
('Joseph Weizenbaum', 'PERSON', 'Q75778', 'https://www.wikidata.org/wiki/Q75778', 0.9118)
('1960', 'DATE', 'Q3754', 'https://www.wikidata.org/wiki/Q3754', 0.5171)
('Weizenbaum', 'PERSON', 'Q75778', 'https://www.wikidata.org/wiki/Q75778', 0.636)
('RET', 'ORG', 'Q839557', 'https://www.wikidata.org/wiki/Q839557', 0.4596)
('these days', 'DATE', 'Q7783367', 'https://www.wikidata.org/wiki/Q7783367', 0.213)
('AI', 'ORG', 'Q2494121', 'https://www.wikidata.org/wiki/Q2494121', 0.452)
('Eliza', 'ORG', 'Q5363475', 'https://www.wikidata.org/wiki/Q5363475', 0.3445)
('Weizenbaum', 'PERSON', 'Q75778', 'https://www.wikidata.org/wiki/Q75778', 0.4037)
('Algorithm', 'FAC', 'Q8366', 'https://www.wikidata.org/wiki/Q8366', 0.4082)
('these days', 'DATE', 'Q7783367', 'https://www.wikidata.org/wiki/Q7783367', 0.213)
('Eliza', 'ORG', 'Q5363475', 'https://www.wikidata.org/wiki/Q5363475', 0.3445)
('these days', 'DATE', 'Q7783367', 'https://www.wikidata.org/wiki/Q7783367', 0.213)
('Keyword', 'PERSON', 'Q1128340', 'https://www.wikidata.org/wiki/Q1128340', 0.411)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3167)
