('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3478)
('Hill Climbing', 'ORG', 'Q820272', 'https://www.wikidata.org/wiki/Q820272', 0.4156)
('Plateau', 'PERSON', 'Q32108', 'https://www.wikidata.org/wiki/Q32108', 0.3883)
('Artificial Intelligence', 'ORG', 'Q4801033', 'https://www.wikidata.org/wiki/Q4801033', 0.4503)
('node', 'GPE', 'Q1777473', 'https://www.wikidata.org/wiki/Q1777473', 0.4748)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3478)
('Artificial Intelligence', 'ORG', 'Q109875730', 'https://www.wikidata.org/wiki/Q109875730', 0.6412)
('2003', 'DATE', 'Q1986', 'https://www.wikidata.org/wiki/Q1986', 0.396)
('Today', 'DATE', 'Q130838', 'https://www.wikidata.org/wiki/Q130838', 0.3992)
('State Space Representation', 'ORG', 'Q230945', 'https://www.wikidata.org/wiki/Q230945', 0.4785)
('State Space Search', 'ORG', 'Q2033871', 'https://www.wikidata.org/wiki/Q2033871', 0.4776)
('Search', 'ORG', 'Q3953588', 'https://www.wikidata.org/wiki/Q3953588', 0.3889)
('Hill Climbing', 'PERSON', 'Q820272', 'https://www.wikidata.org/wiki/Q820272', 0.4107)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3478)
('Artificial Intelligence', 'ORG', 'Q4801033', 'https://www.wikidata.org/wiki/Q4801033', 0.4503)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3478)
('Best-First Search', 'WORK_OF_ART', 'Q830527', 'https://www.wikidata.org/wiki/Q830527', 0.5954)
('Today', 'DATE', 'Q130838', 'https://www.wikidata.org/wiki/Q130838', 0.3992)
('State Space Representation', 'ORG', 'Q230945', 'https://www.wikidata.org/wiki/Q230945', 0.6939)
('State Space Search', 'ORG', 'Q2033871', 'https://www.wikidata.org/wiki/Q2033871', 0.6117)
('Search', 'ORG', 'Q3953588', 'https://www.wikidata.org/wiki/Q3953588', 0.3889)
('Hill Climbing', 'PERSON', 'Q820272', 'https://www.wikidata.org/wiki/Q820272', 0.4998)
('Manhattan', 'GPE', 'Q11299', 'https://www.wikidata.org/wiki/Q11299', 0.4588)
('Manhattan', 'GPE', 'Q11299', 'https://www.wikidata.org/wiki/Q11299', 0.4588)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3478)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3478)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3478)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3478)
('Admissibility', 'ORG', 'Q4683809', 'https://www.wikidata.org/wiki/Q4683809', 0.4256)
('Manhattan', 'GPE', 'Q11299', 'https://www.wikidata.org/wiki/Q11299', 0.4588)
('Manhattan', 'GPE', 'Q11299', 'https://www.wikidata.org/wiki/Q11299', 0.6756)
('Today', 'DATE', 'Q130838', 'https://www.wikidata.org/wiki/Q130838', 0.3992)
('State Space Representation', 'ORG', 'Q230945', 'https://www.wikidata.org/wiki/Q230945', 0.4785)
('State Space Search', 'ORG', 'Q2033871', 'https://www.wikidata.org/wiki/Q2033871', 0.4776)
('Search', 'ORG', 'Q3953588', 'https://www.wikidata.org/wiki/Q3953588', 0.3889)
('Hill Climbing', 'PERSON', 'Q820272', 'https://www.wikidata.org/wiki/Q820272', 0.4107)
('Peter Hart', 'PERSON', 'Q7173787', 'https://www.wikidata.org/wiki/Q7173787', 0.8375)
('Bertram Raphael\n\n', 'PERSON', 'Q4895807', 'https://www.wikidata.org/wiki/Q4895807', 0.6903)
('1968', 'DATE', 'Q2644', 'https://www.wikidata.org/wiki/Q2644', 0.3915)
('Shakey the Robot', 'WORK_OF_ART', 'Q1810639', 'https://www.wikidata.org/wiki/Q1810639', 0.7141)
('Stanford', 'ORG', 'Q41506', 'https://www.wikidata.org/wiki/Q41506', 0.5085)
('Heuristics', 'ORG', 'Q201413', 'https://www.wikidata.org/wiki/Q201413', 0.6333)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3478)
('BFS', 'ORG', 'Q325904', 'https://www.wikidata.org/wiki/Q325904', 0.6498)
('≥', 'PERSON', 'Q28113351', 'https://www.wikidata.org/wiki/Q28113351', 0.4484)
